tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds,train_eval_loss,train_eval_acc
sweep_d3_lr1e-3,atan,2,1,4,0.079651,0.423931,0.890300,0.116273,1.011,nan,nan
sweep_d3_lr1e-3,atan,2,2,1,0.397955,0.476705,0.857500,0.138353,0.991,nan,nan
sweep_d3_lr1e-3,atan,2,2,2,0.163134,0.397785,0.876500,0.121852,0.993,nan,nan
sweep_d3_lr1e-3,atan,2,2,3,0.110650,0.346074,0.900400,0.118437,1.000,nan,nan
sweep_d3_lr1e-3,atan,2,2,4,0.075601,0.373439,0.900600,0.123423,0.996,nan,nan
sweep_d3_lr2e-3,atan,0.5,1,1,0.430905,0.552561,0.834500,0.101634,1.067,nan,nan
sweep_d3_lr2e-3,atan,0.5,1,2,0.200957,0.467384,0.865100,0.105164,1.024,nan,nan
sweep_d3_lr2e-3,atan,0.5,1,3,0.137361,0.470240,0.875100,0.108434,1.013,nan,nan
sweep_d3_lr2e-3,atan,0.5,1,4,0.100600,0.480312,0.885200,0.109004,1.019,nan,nan
sweep_d3_lr2e-3,atan,0.5,2,1,0.423337,0.552841,0.839500,0.104167,1.003,nan,nan
sweep_d3_lr2e-3,atan,0.5,2,2,0.195016,0.463543,0.869000,0.104403,1.024,nan,nan
sweep_d3_lr2e-3,atan,0.5,2,3,0.141486,0.418138,0.889400,0.108909,0.995,nan,nan
sweep_d3_lr2e-3,atan,0.5,2,4,0.101916,0.449283,0.887600,0.110104,1.010,nan,nan
sweep_d3_lr2e-3,atan,1,1,1,0.391286,0.485704,0.858400,0.107313,1.069,nan,nan
sweep_d3_lr2e-3,atan,1,1,2,0.172892,0.471519,0.875600,0.111188,1.021,nan,nan
sweep_d3_lr2e-3,atan,1,1,3,0.120764,0.432944,0.879500,0.105833,1.009,nan,nan
sweep_d3_lr2e-3,atan,1,1,4,0.090897,0.453472,0.888600,0.108381,1.013,nan,nan
sweep_d3_lr2e-3,atan,1,2,1,0.388216,0.528222,0.845600,0.107602,1.013,nan,nan
sweep_d3_lr2e-3,atan,1,2,2,0.173595,0.437532,0.873700,0.104310,1.020,nan,nan
sweep_d3_lr2e-3,atan,1,2,3,0.122126,0.444154,0.887300,0.108685,1.018,nan,nan
sweep_d3_lr2e-3,atan,1,2,4,0.090350,0.440348,0.891400,0.108566,1.015,nan,nan
sweep_d3_lr2e-3,atan,2,1,1,0.368841,0.497690,0.844600,0.107992,1.062,nan,nan
sweep_d3_lr2e-3,atan,2,1,2,0.170534,0.430311,0.880000,0.107190,1.005,nan,nan
sweep_d3_lr2e-3,atan,2,1,3,0.117151,0.433378,0.884800,0.109217,1.023,nan,nan
sweep_d3_lr2e-3,atan,2,1,4,0.089493,0.424531,0.892400,0.109873,1.010,nan,nan
sweep_d3_lr2e-3,atan,2,2,1,0.367112,0.488969,0.857500,0.108724,1.026,nan,nan
sweep_d3_lr2e-3,atan,2,2,2,0.165904,0.442357,0.870000,0.103292,1.019,nan,nan
sweep_d3_lr2e-3,atan,2,2,3,0.117720,0.437786,0.882900,0.107455,1.016,nan,nan
sweep_d3_lr2e-3,atan,2,2,4,0.096164,0.379610,0.898800,0.103939,1.017,nan,nan
sweep_d4_lr5e-4,atan,0.5,1,1,0.607276,0.647327,0.796200,0.131143,1.393,nan,nan
sweep_d4_lr5e-4,atan,0.5,1,2,0.290086,0.536099,0.833300,0.121640,1.341,nan,nan
sweep_d4_lr5e-4,atan,0.5,1,3,0.211361,0.483764,0.856300,0.114812,1.334,nan,nan
sweep_d4_lr5e-4,atan,0.5,1,4,0.162963,0.434715,0.872900,0.116217,1.331,nan,nan
sweep_d4_lr5e-4,atan,0.5,2,1,0.609356,0.713151,0.779500,0.132956,1.329,nan,nan
sweep_d4_lr5e-4,atan,0.5,2,2,0.288698,0.539959,0.838900,0.122183,1.331,nan,nan
sweep_d4_lr5e-4,atan,0.5,2,3,0.209125,0.465051,0.864300,0.118481,1.337,nan,nan
sweep_d4_lr5e-4,atan,0.5,2,4,0.163036,0.454954,0.868500,0.113963,1.317,nan,nan
sweep_d4_lr5e-4,atan,1,1,1,0.552110,0.581738,0.818700,0.150128,1.357,nan,nan
sweep_d4_lr5e-4,atan,1,1,2,0.240725,0.462191,0.866100,0.138114,1.300,nan,nan
sweep_d4_lr5e-4,atan,1,1,3,0.163193,0.426934,0.874300,0.132018,1.296,nan,nan
sweep_d4_lr5e-4,atan,1,1,4,0.119514,0.410838,0.889200,0.131617,1.299,nan,nan
sweep_d4_lr5e-4,atan,1,2,1,0.552415,0.630629,0.807500,0.156391,1.315,nan,nan
sweep_d4_lr5e-4,atan,1,2,2,0.242077,0.469002,0.859900,0.137133,1.312,nan,nan
sweep_d4_lr5e-4,atan,1,2,3,0.165890,0.399450,0.887500,0.130031,1.308,nan,nan
sweep_d4_lr5e-4,atan,1,2,4,0.124105,0.416745,0.888200,0.124370,1.310,nan,nan
