tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
cnn_d3,cnn,3,0,104202,4,9,0.018007,0.252539,0.952900,1.527,0.010913,0.996400
cnn_d3,cnn,3,0,104202,4,10,0.016312,0.291933,0.952900,1.216,0.013473,0.995900
cnn_d3,cnn,3,0,104202,4,11,0.011907,0.353922,0.941200,1.293,0.013848,0.994300
cnn_d3,cnn,3,0,104202,4,12,0.014538,0.293315,0.952400,1.338,0.013015,0.995300
cnn_d3,cnn,3,0,104202,4,13,0.012156,0.308465,0.953300,1.371,0.006175,0.997800
cnn_d3,cnn,3,0,104202,4,14,0.010139,0.305980,0.950800,1.511,0.008382,0.997000
cnn_d3,cnn,3,0,104202,4,15,0.009840,0.296612,0.958900,1.264,0.004495,0.998700
cnn_d4,cnn,4,0,390410,1,1,0.292638,0.228085,0.928700,2.641,0.071492,0.978200
cnn_d4,cnn,4,0,390410,1,2,0.067914,0.181931,0.946500,1.563,0.036267,0.988800
cnn_d4,cnn,4,0,390410,1,3,0.040102,0.171383,0.954500,1.775,0.022253,0.992200
cnn_d4,cnn,4,0,390410,1,4,0.030842,0.212533,0.949600,1.498,0.017198,0.994800
cnn_d4,cnn,4,0,390410,1,5,0.021536,0.198422,0.955500,1.674,0.010495,0.996600
cnn_d4,cnn,4,0,390410,1,6,0.018504,0.204703,0.952600,1.661,0.017687,0.994500
cnn_d4,cnn,4,0,390410,1,7,0.017523,0.221911,0.946700,1.871,0.014473,0.995600
cnn_d4,cnn,4,0,390410,1,8,0.016141,0.174575,0.961100,1.772,0.008734,0.997100
cnn_d4,cnn,4,0,390410,1,9,0.015724,0.190564,0.958800,1.749,0.017902,0.994200
cnn_d4,cnn,4,0,390410,1,10,0.011485,0.210383,0.958500,1.693,0.008053,0.997300
cnn_d4,cnn,4,0,390410,1,11,0.015312,0.199632,0.961500,1.591,0.021850,0.995200
cnn_d4,cnn,4,0,390410,1,12,0.011350,0.212979,0.960900,1.635,0.006053,0.997900
cnn_d4,cnn,4,0,390410,1,13,0.011111,0.279994,0.951400,1.553,0.021811,0.994400
cnn_d4,cnn,4,0,390410,1,14,0.011395,0.273965,0.959300,1.612,0.005391,0.998600
cnn_d4,cnn,4,0,390410,1,15,0.009928,0.228459,0.963000,1.503,0.009388,0.996900
cnn_d4,cnn,4,0,390410,2,1,0.334365,0.281977,0.914300,1.553,0.092678,0.971100
cnn_d4,cnn,4,0,390410,2,2,0.072733,0.183835,0.947800,1.312,0.040228,0.988100
cnn_d4,cnn,4,0,390410,2,3,0.042798,0.168036,0.953600,1.693,0.024681,0.992700
cnn_d4,cnn,4,0,390410,2,4,0.031640,0.207099,0.946800,1.638,0.031817,0.989800
cnn_d4,cnn,4,0,390410,2,5,0.022061,0.220899,0.952000,1.602,0.021540,0.993200
cnn_d4,cnn,4,0,390410,2,6,0.022188,0.176991,0.959400,1.521,0.014280,0.995200
cnn_d4,cnn,4,0,390410,2,7,0.018625,0.193648,0.953300,1.531,0.014380,0.994900
cnn_d4,cnn,4,0,390410,2,8,0.014651,0.204280,0.959600,1.653,0.008947,0.997200
cnn_d4,cnn,4,0,390410,2,9,0.013013,0.254914,0.954500,1.693,0.015197,0.995900
cnn_d4,cnn,4,0,390410,2,10,0.015355,0.201412,0.954300,1.612,0.012513,0.996100
cnn_d4,cnn,4,0,390410,2,11,0.015233,0.205084,0.958100,1.852,0.011874,0.996300
cnn_d4,cnn,4,0,390410,2,12,0.012064,0.232051,0.962700,1.486,0.008498,0.997000
cnn_d4,cnn,4,0,390410,2,13,0.009954,0.221000,0.959800,1.659,0.007611,0.996800
cnn_d4,cnn,4,0,390410,2,14,0.011409,0.259783,0.956600,1.674,0.006556,0.998500
cnn_d4,cnn,4,0,390410,2,15,0.013687,0.244830,0.963600,1.666,0.006503,0.998000
cnn_d4,cnn,4,0,390410,3,1,0.275617,0.256069,0.927000,1.626,0.069046,0.978400
cnn_d4,cnn,4,0,390410,3,2,0.063035,0.187336,0.946300,1.490,0.039777,0.988000
cnn_d4,cnn,4,0,390410,3,3,0.038668,0.163741,0.959600,1.741,0.024530,0.992700
cnn_d4,cnn,4,0,390410,3,4,0.025121,0.174424,0.959100,1.589,0.016872,0.994000
cnn_d4,cnn,4,0,390410,3,5,0.022435,0.178919,0.955400,1.642,0.016240,0.995100
cnn_d4,cnn,4,0,390410,3,6,0.020422,0.200995,0.956800,1.462,0.008335,0.996800
cnn_d4,cnn,4,0,390410,3,7,0.016992,0.199366,0.954500,1.546,0.012865,0.995500
cnn_d4,cnn,4,0,390410,3,8,0.015520,0.211942,0.961600,1.670,0.007207,0.997300
cnn_d4,cnn,4,0,390410,3,9,0.014130,0.203208,0.960000,1.661,0.010947,0.996300
cnn_d4,cnn,4,0,390410,3,10,0.010481,0.225632,0.955200,1.606,0.021647,0.993600
cnn_d4,cnn,4,0,390410,3,11,0.016160,0.218945,0.961000,1.629,0.009760,0.997000
cnn_d4,cnn,4,0,390410,3,12,0.013419,0.210259,0.961500,1.568,0.010208,0.996700
cnn_d4,cnn,4,0,390410,3,13,0.010496,0.214741,0.966000,1.646,0.004576,0.998600
cnn_d4,cnn,4,0,390410,3,14,0.009507,0.345226,0.945100,1.634,0.029099,0.992600
cnn_d4,cnn,4,0,390410,3,15,0.009542,0.226256,0.966600,1.619,0.005253,0.998600
cnn_d4,cnn,4,0,390410,4,1,0.331688,0.269661,0.922300,1.605,0.088960,0.974300
cnn_d4,cnn,4,0,390410,4,2,0.078019,0.232579,0.934900,1.631,0.055898,0.983300
cnn_d4,cnn,4,0,390410,4,3,0.047724,0.204981,0.946200,1.645,0.039137,0.987700
cnn_d4,cnn,4,0,390410,4,4,0.030646,0.193742,0.951700,1.583,0.026931,0.990600
cnn_d4,cnn,4,0,390410,4,5,0.027730,0.194125,0.952800,1.582,0.015144,0.994800
cnn_d4,cnn,4,0,390410,4,6,0.021747,0.222001,0.950700,1.597,0.018856,0.994000
cnn_d4,cnn,4,0,390410,4,7,0.017189,0.183653,0.962200,1.565,0.012762,0.995600
cnn_d4,cnn,4,0,390410,4,8,0.018541,0.213822,0.956000,1.276,0.014651,0.994600
cnn_d4,cnn,4,0,390410,4,9,0.015950,0.212151,0.954000,1.555,0.015535,0.995400
cnn_d4,cnn,4,0,390410,4,10,0.016055,0.228272,0.952600,1.478,0.017361,0.994700
cnn_d4,cnn,4,0,390410,4,11,0.016066,0.239939,0.957100,1.562,0.012577,0.995700
cnn_d4,cnn,4,0,390410,4,12,0.013166,0.186915,0.964600,1.498,0.005763,0.998000
cnn_d4,cnn,4,0,390410,4,13,0.012243,0.252413,0.957600,1.658,0.018420,0.994200
cnn_d4,cnn,4,0,390410,4,14,0.014655,0.254042,0.961100,1.592,0.011312,0.995800
cnn_d4,cnn,4,0,390410,4,15,0.013157,0.255444,0.961200,1.759,0.004434,0.998400
mlp_d1,mlp,1,256,203530,1,1,0.377442,0.471794,0.858400,0.917,0.181656,0.948700
mlp_d1,mlp,1,256,203530,1,2,0.162767,0.397572,0.883300,0.787,0.111207,0.969800
mlp_d1,mlp,1,256,203530,1,3,0.106210,0.396384,0.887400,0.781,0.084255,0.974800
mlp_d1,mlp,1,256,203530,1,4,0.075326,0.441111,0.888100,0.569,0.064842,0.979400
mlp_d1,mlp,1,256,203530,1,5,0.050458,0.389473,0.902900,0.733,0.033321,0.990600
mlp_d1,mlp,1,256,203530,1,6,0.037068,0.446556,0.896900,0.559,0.026434,0.992400
mlp_d1,mlp,1,256,203530,1,7,0.029025,0.460258,0.902500,0.798,0.029224,0.990300
mlp_d1,mlp,1,256,203530,1,8,0.027724,0.504209,0.902400,0.650,0.022676,0.992900
mlp_d1,mlp,1,256,203530,1,9,0.024447,0.536077,0.899600,0.801,0.017064,0.994500
mlp_d1,mlp,1,256,203530,1,10,0.019785,0.587041,0.893600,0.708,0.025867,0.990900
mlp_d1,mlp,1,256,203530,1,11,0.022897,0.636064,0.897400,0.817,0.023520,0.992400
mlp_d1,mlp,1,256,203530,1,12,0.020185,0.668967,0.893300,0.710,0.021694,0.992500
mlp_d1,mlp,1,256,203530,1,13,0.021591,0.663091,0.898500,1.037,0.021034,0.993500
mlp_d1,mlp,1,256,203530,1,14,0.017425,0.708502,0.892500,0.862,0.016046,0.994400
mlp_d1,mlp,1,256,203530,1,15,0.008891,0.640702,0.909700,0.880,0.004395,0.998400
mlp_d1,mlp,1,256,203530,2,1,0.385443,0.463422,0.859000,0.937,0.185809,0.945800
mlp_d1,mlp,1,256,203530,2,2,0.164088,0.404113,0.878100,0.856,0.110910,0.966600
mlp_d1,mlp,1,256,203530,2,3,0.107210,0.404942,0.883800,1.070,0.070924,0.980400
mlp_d1,mlp,1,256,203530,2,4,0.076101,0.393945,0.893400,0.973,0.054546,0.984600
mlp_d1,mlp,1,256,203530,2,5,0.052827,0.403975,0.901700,0.916,0.033540,0.990000
mlp_d1,mlp,1,256,203530,2,6,0.038718,0.446698,0.900900,1.025,0.028200,0.991100
mlp_d1,mlp,1,256,203530,2,7,0.030537,0.474453,0.900000,0.991,0.024188,0.990700
mlp_d1,mlp,1,256,203530,2,8,0.026306,0.519450,0.895100,0.996,0.029081,0.990200
mlp_d1,mlp,1,256,203530,2,9,0.025382,0.520499,0.902800,0.742,0.021029,0.993000
mlp_d1,mlp,1,256,203530,2,10,0.023751,0.591602,0.891500,0.517,0.024779,0.991600
mlp_d1,mlp,1,256,203530,2,11,0.021035,0.549935,0.905600,0.680,0.013691,0.995400
mlp_d1,mlp,1,256,203530,2,12,0.020484,0.638527,0.897100,0.637,0.014149,0.995600
mlp_d1,mlp,1,256,203530,2,13,0.015713,0.645821,0.898500,1.042,0.014863,0.995400
mlp_d1,mlp,1,256,203530,2,14,0.021775,0.715158,0.892300,1.134,0.017898,0.993700
