tag,surrogate,alpha,seed,epoch,train_loss,test_loss,test_acc,firing_rate,seconds
sweep,triangle,10,1,1,0.347574,0.489835,0.849700,0.126948,2.071
sweep,triangle,10,1,2,0.180745,0.464380,0.862600,0.136447,2.270
sweep,triangle,10,1,3,0.144908,0.454674,0.869000,0.130756,2.206
sweep,triangle,10,1,4,0.119613,0.488385,0.864600,0.130283,2.087
sweep,triangle,10,2,1,0.336818,0.482653,0.858200,0.152508,2.015
sweep,triangle,10,2,2,0.177653,0.465370,0.863500,0.150680,1.994
sweep,triangle,10,2,3,0.142520,0.442676,0.878200,0.156787,2.310
sweep,triangle,10,2,4,0.124353,0.473290,0.873800,0.160831,1.953
sweep,triangle,10,3,1,0.342309,0.471915,0.855700,0.140154,1.945
sweep,triangle,10,3,2,0.179553,0.470329,0.860400,0.146973,2.146
sweep,triangle,10,3,3,0.145933,0.494975,0.854100,0.138456,2.237
sweep,triangle,10,3,4,0.123437,0.488170,0.870300,0.150716,1.965
sweep,triangle,25,1,1,0.364239,0.548637,0.832600,0.151431,1.846
sweep,triangle,25,1,2,0.209913,0.526545,0.852000,0.168280,1.992
sweep,triangle,25,1,3,0.171961,0.495932,0.859400,0.163001,2.273
sweep,triangle,25,1,4,0.154375,0.499223,0.865900,0.160335,2.285
sweep,triangle,25,2,1,0.355964,0.529679,0.841900,0.183715,2.182
sweep,triangle,25,2,2,0.207796,0.508922,0.850700,0.186516,2.225
sweep,triangle,25,2,3,0.176493,0.507075,0.858500,0.200646,2.155
sweep,triangle,25,2,4,0.158850,0.530246,0.856600,0.195918,2.263
sweep,triangle,25,3,1,0.360852,0.524868,0.839800,0.170281,2.038
sweep,triangle,25,3,2,0.210134,0.512077,0.855400,0.191600,2.218
sweep,triangle,25,3,3,0.185116,0.558944,0.842900,0.205326,2.148
sweep,triangle,25,3,4,0.158421,0.521077,0.857000,0.190535,2.318
sweep,gaussian,0.5,1,1,0.379903,0.492270,0.852100,0.103987,2.223
sweep,gaussian,0.5,1,2,0.172096,0.470015,0.867800,0.110230,2.268
sweep,gaussian,0.5,1,3,0.116384,0.431829,0.883000,0.119152,2.260
sweep,gaussian,0.5,1,4,0.084091,0.479354,0.877200,0.118115,2.364
sweep,gaussian,0.5,2,1,0.379536,0.514805,0.853700,0.104450,2.012
sweep,gaussian,0.5,2,2,0.171498,0.447235,0.873100,0.109273,2.279
sweep,gaussian,0.5,2,3,0.118351,0.409640,0.888700,0.115375,2.302
sweep,gaussian,0.5,2,4,0.085692,0.465849,0.891200,0.120931,2.413
sweep,gaussian,0.5,3,1,0.378330,0.488522,0.853000,0.104482,2.067
sweep,gaussian,0.5,3,2,0.171991,0.427365,0.879200,0.104679,2.526
sweep,gaussian,0.5,3,3,0.115598,0.430803,0.881700,0.109605,2.229
sweep,gaussian,0.5,3,4,0.085837,0.493387,0.879200,0.117200,2.193
sweep,gaussian,1,1,1,0.342495,0.458448,0.862400,0.111314,2.223
sweep,gaussian,1,1,2,0.154040,0.428095,0.879300,0.113998,2.247
sweep,gaussian,1,1,3,0.107442,0.443180,0.881100,0.125460,2.336
sweep,gaussian,1,1,4,0.078066,0.457580,0.883700,0.120081,2.207
sweep,gaussian,1,2,1,0.336863,0.483737,0.857100,0.117364,2.388
sweep,gaussian,1,2,2,0.150647,0.465913,0.869700,0.121515,2.666
sweep,gaussian,1,2,3,0.107121,0.437175,0.883200,0.121553,2.241
sweep,gaussian,1,2,4,0.076940,0.417052,0.894700,0.124659,2.279
sweep,gaussian,1,3,1,0.335947,0.444366,0.866200,0.119074,2.041
sweep,gaussian,1,3,2,0.155240,0.431689,0.880100,0.121036,2.242
sweep,gaussian,1,3,3,0.105819,0.448631,0.880500,0.125914,2.468
sweep,gaussian,1,3,4,0.083086,0.482322,0.878900,0.122606,2.532
sweep,gaussian,2,1,1,0.334535,0.478067,0.854200,0.119676,2.424
sweep,gaussian,2,1,2,0.157701,0.441845,0.870800,0.123380,2.355
sweep,gaussian,2,1,3,0.114486,0.468786,0.869200,0.130275,2.623
sweep,gaussian,2,1,4,0.090585,0.436783,0.886200,0.122571,2.606
sweep,gaussian,2,2,1,0.324716,0.461110,0.865500,0.129610,2.420
sweep,gaussian,2,2,2,0.150062,0.413995,0.876700,0.124986,2.457
sweep,gaussian,2,2,3,0.110464,0.422019,0.884600,0.125776,2.133
sweep,gaussian,2,2,4,0.088358,0.443699,0.885500,0.121960,2.555
sweep,gaussian,2,3,1,0.324808,0.466441,0.860900,0.130191,2.119
sweep,gaussian,2,3,2,0.158430,0.414005,0.879900,0.126354,2.334
sweep,gaussian,2,3,3,0.111732,0.443645,0.879900,0.136849,2.431
sweep,gaussian,2,3,4,0.087800,0.463916,0.879900,0.124565,2.448
sweep,gaussian,5,1,1,0.340364,0.478617,0.855900,0.121320,2.445
sweep,gaussian,5,1,2,0.168476,0.441724,0.869500,0.118112,2.315
sweep,gaussian,5,1,3,0.129204,0.455133,0.870900,0.125028,2.505
sweep,gaussian,5,1,4,0.105331,0.474122,0.869400,0.123054,2.432
sweep,gaussian,5,2,1,0.325256,0.472882,0.864800,0.137656,2.433
sweep,gaussian,5,2,2,0.158266,0.457707,0.866000,0.132265,2.440
sweep,gaussian,5,2,3,0.120522,0.432509,0.879800,0.126668,2.490
sweep,gaussian,5,2,4,0.098655,0.429448,0.887500,0.124754,2.667
sweep,gaussian,5,3,1,0.330002,0.435180,0.868900,0.142684,2.427
sweep,gaussian,5,3,2,0.162914,0.450565,0.869500,0.139835,2.446
sweep,gaussian,5,3,3,0.122610,0.457831,0.866400,0.135277,2.526
sweep,gaussian,5,3,4,0.102650,0.486966,0.866900,0.134925,2.509
sweep,gaussian,10,1,1,0.341916,0.462412,0.861700,0.126013,2.571
sweep,gaussian,10,1,2,0.171052,0.465033,0.863600,0.136815,2.473
sweep,gaussian,10,1,3,0.134038,0.472090,0.870700,0.136638,2.418
sweep,gaussian,10,1,4,0.108700,0.484358,0.869200,0.135643,2.457
sweep,gaussian,10,2,1,0.328296,0.473384,0.861200,0.144472,2.488
sweep,gaussian,10,2,2,0.166901,0.469578,0.862600,0.136343,2.620
sweep,gaussian,10,2,3,0.129928,0.453420,0.875900,0.138761,2.578
sweep,gaussian,10,2,4,0.109918,0.467395,0.876200,0.142040,2.579
sweep,gaussian,10,3,1,0.332556,0.441938,0.868100,0.143160,2.413
sweep,gaussian,10,3,2,0.166029,0.451653,0.873700,0.149115,2.715
sweep,gaussian,10,3,3,0.132289,0.449097,0.873600,0.144240,2.432
