tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
sweep_mlp2w256_lr1e-3,mlp,2,256,269322,2,3,0.128626,0.412002,0.880500,0.933,nan,nan
sweep_mlp2w256_lr1e-3,mlp,2,256,269322,2,4,0.091099,0.389115,0.894100,1.128,nan,nan
sweep_mlp2w256_lr3e-3,mlp,2,256,269322,1,1,0.362410,0.458428,0.864000,1.221,nan,nan
sweep_mlp2w256_lr3e-3,mlp,2,256,269322,1,2,0.153965,0.405667,0.880700,0.822,nan,nan
sweep_mlp2w256_lr3e-3,mlp,2,256,269322,1,3,0.100326,0.373948,0.896800,0.886,nan,nan
sweep_mlp2w256_lr3e-3,mlp,2,256,269322,1,4,0.076452,0.387432,0.904300,0.775,nan,nan
sweep_mlp2w256_lr3e-3,mlp,2,256,269322,2,1,0.362286,0.431684,0.871500,0.716,nan,nan
sweep_mlp2w256_lr3e-3,mlp,2,256,269322,2,2,0.152961,0.376634,0.891200,0.813,nan,nan
sweep_mlp2w256_lr3e-3,mlp,2,256,269322,2,3,0.099507,0.374037,0.900600,0.895,nan,nan
sweep_mlp2w256_lr3e-3,mlp,2,256,269322,2,4,0.074128,0.396033,0.899600,1.064,nan,nan
sweep_mlp3w256_lr3e-4,mlp,3,256,335114,1,1,0.706550,0.742757,0.766800,1.147,nan,nan
sweep_mlp3w256_lr3e-4,mlp,3,256,335114,1,2,0.326065,0.610298,0.812200,0.968,nan,nan
sweep_mlp3w256_lr3e-4,mlp,3,256,335114,1,3,0.234563,0.517686,0.840400,0.940,nan,nan
sweep_mlp3w256_lr3e-4,mlp,3,256,335114,1,4,0.177253,0.462766,0.863900,1.014,nan,nan
sweep_mlp3w256_lr3e-4,mlp,3,256,335114,2,1,0.695921,0.696192,0.785300,0.948,nan,nan
sweep_mlp3w256_lr3e-4,mlp,3,256,335114,2,2,0.322659,0.611738,0.808900,1.118,nan,nan
sweep_mlp3w256_lr3e-4,mlp,3,256,335114,2,3,0.235900,0.515222,0.841000,1.089,nan,nan
